bank_row_id,utr,merchant_ref_code,bank_credit_date,credited_amount,bank_fee,bank_reported_txn_count,narration
BNK000001,UTR406531716032,mcht_d2c_04,2026-02-23,4622.18,5.46,1.0,NEFT CR RAZORPAY SETTLEMENT UTR406531716032
BNK000002,UTR194481744306,,2026-02-19,30811.45,8.08,1.0,NEFT CR RAZORPAY SETTLEMENT UTR194481744306
BNK000003,UTR667749016328,mcht_mkt_03,2026-02-18,137877.86,18.79,1.0,NEFT CR RAZORPAY SETTLEMENT UTR667749016328
BNK000004,UTR272442708696,,2026-02-09,8297.78,5.83,1.0,NEFT CR RAZORPAY SETTLEMENT UTR272442708696
BNK000005,UTR503386595431,mcht_food_01,2026-02-17,2730.38,5.27,1.0,NEFT CR RAZORPAY SETTLEMENT UTR503386595431
BNK000006,UTR106583010663,mcht_mkt_01,2026-02-19,74993.49,12.5,1.0,NEFT CR RAZORPAY SETTLEMENT UTR106583010663
BNK000007,UTR670392795762,mcht_saas_02,2026-02-17,8065.12,5.81,,NEFT CR RAZORPAY SETTLEMENT UTR670392795762
BNK000008,UTR529755286264,,2026-02-03,9023.92,5.9,,NEFT CR RAZORPAY SETTLEMENT UTR529755286264
BNK000009,UTR748626352046,mcht_d2c_02,2026-02-05,25137.16,7.51,,NEFT CR RAZORPAY SETTLEMENT UTR748626352046
BNK000010,UTR880121294435,mcht_mkt_01,2026-02-17,17336.02,6.73,1.0,NEFT CR RAZORPAY SETTLEMENT UTR880121294435
BNK000011,UTR496079829574,mcht_d2c_02,2026-02-20,6203.59,5.62,1.0,NEFT CR RAZORPAY SETTLEMENT UTR496079829574
BNK000012,UTR972833605035,mcht_food_01,2026-03-02,11324.24,6.13,,NEFT CR RAZORPAY SETTLEMENT UTR972833605035
BNK000013,UTR760378147694,mcht_saas_02,2026-02-26,13308.86,6.33,,NEFT CR RAZORPAY SETTLEMENT UTR760378147694
BNK000014,UTR211482797377,mcht_d2c_04,2026-02-23,8910.62,5.89,1.0,NEFT CR RAZORPAY SETTLEMENT UTR211482797377
BNK000015,UTR540729767635,mcht_food_01,2026-02-27,18735.16,6.87,,NEFT CR RAZORPAY SETTLEMENT UTR540729767635
BNK000016,UTR980125281166,mcht_saas_02,2026-02-18,9405.13,5.94,1.0,NEFT CR RAZORPAY SETTLEMENT UTR980125281166
BNK000017,UTR176337345080,mcht_saas_02,2026-02-05,18020.77,6.8,1.0,NEFT CR RAZORPAY SETTLEMENT UTR176337345080
BNK000018,UTR932231500497,mcht_d2c_04,2026-02-23,6250.01,5.63,,NEFT CR RAZORPAY SETTLEMENT UTR932231500497
BNK000019,UTR435432107176,mcht_d2c_04,2026-02-20,6494.75,5.65,1.0,NEFT CR RAZORPAY SETTLEMENT UTR435432107176
BNK000020,UTR707775065800,mcht_saas_02,2026-02-17,14391.83,6.44,,NEFT CR RAZORPAY SETTLEMENT UTR707775065800
BNK000021,UTR878910893250,mcht_d2c_04,2026-02-12,3823.27,5.38,,NEFT CR RAZORPAY SETTLEMENT UTR878910893250
BNK000022,UTR144067338840,mcht_food_01,2026-03-02,11028.62,6.1,1.0,NEFT CR RAZORPAY SETTLEMENT UTR144067338840
BNK000023,UTR872312774162,mcht_food_01,2026-02-02,13856.05,6.39,1.0,NEFT CR RAZORPAY SETTLEMENT UTR872312774162
BNK000024,UTR709558659427,mcht_saas_02,2026-02-17,9684.72,5.97,1.0,NEFT CR RAZORPAY SETTLEMENT UTR709558659427
BNK000025,UTR906071393245,mcht_mkt_03,2026-03-06,81051.31,13.11,1.0,NEFT CR RAZORPAY SETTLEMENT UTR906071393245
BNK000026,UTR867503016668,mcht_d2c_02,2026-03-02,24914.98,7.49,1.0,NEFT CR RAZORPAY SETTLEMENT UTR867503016668
BNK000027,UTR369049286007,mcht_d2c_02,2026-02-06,9458.84,5.95,1.0,NEFT CR RAZORPAY SETTLEMENT UTR369049286007
