ledger_txn_id,merchant_id,merchant_category,capture_date,gross_amount,razorpay_fee,tds_amount,expected_net_amount,expected_settlement_date,txn_status,utr_hint
LTX000001,mcht_saas_02,saas_subscription,2026-02-03,18406.29,378.72,0.0,18027.57,2026-02-05,captured,UTR176337345080
LTX000002,mcht_saas_02,saas_subscription,2026-02-22,22306.75,431.29,0.0,21875.46,2026-02-24,captured,UTR709858687239
LTX000003,mcht_saas_02,saas_subscription,2026-02-22,7480.47,161.53,0.0,7318.94,2026-02-24,captured,UTR709858687239
LTX000004,mcht_saas_02,saas_subscription,2026-02-04,7081.75,150.92,0.0,6930.83,2026-02-06,captured,
LTX000005,mcht_saas_02,saas_subscription,2026-02-07,11674.97,245.55,0.0,11429.42,2026-02-09,captured,UTR267189521383
LTX000006,mcht_saas_02,saas_subscription,2026-02-12,8251.5,180.57,0.0,8070.93,2026-02-17,captured,UTR670392795762
LTX000007,mcht_saas_02,saas_subscription,2026-02-13,11022.24,232.72,0.0,10789.52,2026-02-17,captured,UTR752664988765
LTX000008,mcht_saas_02,saas_subscription,2026-02-14,9887.12,196.43,0.0,9690.69,2026-02-17,captured,UTR709558659427
LTX000009,mcht_saas_02,saas_subscription,2026-02-14,14671.41,273.14,0.0,14398.27,2026-02-17,captured,UTR707775065800
LTX000010,mcht_saas_02,saas_subscription,2026-02-16,15208.56,319.06,0.0,14889.5,2026-02-18,captured,
LTX000011,mcht_saas_02,saas_subscription,2026-02-16,9596.31,185.24,0.0,9411.07,2026-02-18,captured,UTR980125281166
LTX000012,mcht_saas_02,saas_subscription,2026-02-16,7670.12,152.47,0.0,7517.65,2026-02-18,captured,UTR321459950354
LTX000013,mcht_saas_02,saas_subscription,2026-02-20,22328.0,413.51,0.0,21914.49,2026-02-23,captured,UTR213423707571
LTX000014,mcht_saas_02,saas_subscription,2026-02-21,7559.62,142.93,0.0,7416.69,2026-02-23,captured,UTR747381280321
LTX000015,mcht_saas_02,saas_subscription,2026-02-22,17162.6,362.08,0.0,16800.52,2026-02-24,captured,
LTX000016,mcht_saas_02,saas_subscription,2026-02-22,16177.83,334.64,0.0,15843.19,2026-02-24,captured,UTR709858687239
LTX000017,mcht_saas_02,saas_subscription,2026-02-23,13634.39,266.55,0.0,13367.84,2026-02-25,captured,UTR561458857870
LTX000018,mcht_saas_02,saas_subscription,2026-02-24,13533.73,280.55,0.0,13253.18,2026-02-26,captured,UTR385872070927
LTX000019,mcht_saas_02,saas_subscription,2026-02-24,13570.31,255.12,0.0,13315.19,2026-02-26,captured,UTR760378147694
LTX000020,mcht_saas_02,saas_subscription,2026-02-26,12454.41,263.38,0.0,12191.03,2026-03-02,captured,UTR369444962363
