merchant_id,merchant_category,date,gross_transaction_amount,refund_amount,chargeback_amount,razorpay_fee,tds_hold,net_settled_amount
mcht_d2c_01,d2c_ecommerce,2025-11-01,176837.6,0.0,0.0,3543.84,0.0,173293.76
mcht_d2c_02,d2c_ecommerce,2025-11-01,218834.51,0.0,0.0,4169.78,0.0,214664.73
mcht_d2c_03,d2c_ecommerce,2025-11-01,422001.36,0.0,0.0,8887.43,0.0,413113.93
mcht_d2c_04,d2c_ecommerce,2025-11-01,109002.98,0.0,0.0,2275.92,0.0,106727.06
mcht_food_01,food_delivery,2025-11-01,166370.47,0.0,0.0,3332.9,0.0,163037.57
mcht_food_02,food_delivery,2025-11-01,278066.55,23698.13,0.0,5076.99,0.0,249291.43
mcht_food_03,food_delivery,2025-11-01,337464.17,12343.37,0.0,7174.11,0.0,317946.69
mcht_mkt_01,marketplace,2025-11-01,537439.05,0.0,0.0,11110.97,5374.39,520953.69
mcht_mkt_02,marketplace,2025-11-01,1447023.49,0.0,0.0,27179.95,14470.23,1405373.31
mcht_mkt_03,marketplace,2025-11-01,1760708.87,0.0,0.0,32399.15,17607.09,1710702.63
mcht_mkt_04,marketplace,2025-11-01,333398.58,0.0,0.0,6745.32,0.0,326653.26
mcht_saas_01,saas_subscription,2025-11-01,95810.55,570.99,0.0,1816.65,0.0,93422.91
mcht_saas_02,saas_subscription,2025-11-01,178977.17,861.66,0.0,3735.86,0.0,174379.65
mcht_saas_03,saas_subscription,2025-11-01,320480.45,1861.97,0.0,6958.09,0.0,311660.39
mcht_saas_04,saas_subscription,2025-11-01,137021.32,823.1,0.0,2928.29,0.0,133269.93
mcht_d2c_01,d2c_ecommerce,2025-11-02,165249.05,0.0,0.0,3262.07,0.0,161986.98
mcht_d2c_02,d2c_ecommerce,2025-11-02,324158.23,0.0,0.0,7063.29,3241.58,313853.36
mcht_d2c_03,d2c_ecommerce,2025-11-02,438872.41,0.0,0.0,9252.92,4388.72,425230.77
mcht_d2c_04,d2c_ecommerce,2025-11-02,136977.63,0.0,0.0,2800.84,0.0,134176.79
mcht_food_01,food_delivery,2025-11-02,205592.93,5983.39,0.0,4467.99,0.0,195141.55
mcht_food_02,food_delivery,2025-11-02,375050.35,0.0,0.0,6929.26,3750.5,364370.59
mcht_food_03,food_delivery,2025-11-02,398361.86,0.0,0.0,7925.65,3983.62,386452.59
mcht_mkt_01,marketplace,2025-11-02,504674.1,0.0,0.0,9844.17,5046.74,489783.19
mcht_mkt_02,marketplace,2025-11-02,818724.99,17975.93,0.0,16539.8,8187.25,776022.01
mcht_mkt_03,marketplace,2025-11-02,1210834.85,11793.74,0.0,24272.6,12108.35,1162660.16
mcht_mkt_04,marketplace,2025-11-02,399118.82,22164.28,0.0,7967.19,3991.19,364996.16
mcht_saas_01,saas_subscription,2025-11-02,90388.97,589.71,0.0,1860.14,0.0,87939.12
mcht_saas_02,saas_subscription,2025-11-02,178257.36,517.61,0.0,3626.59,0.0,174113.16
mcht_saas_03,saas_subscription,2025-11-02,300999.61,0.0,0.0,6574.1,3010.0,291415.51
