match_group_id,ledger_txn_ids,bank_row_id,utr,rule,member_count,matched_amount,expected_amount,delta,confidence
grp_00001,LTX000060,BNK000001,UTR406531716032,exact_1to1,1,4622.18,4627.64,0.0,1.0
grp_00002,LTX000096,BNK000003,UTR667749016328,exact_1to1,1,137877.86,137896.65,0.0,1.0
grp_00003,LTX000121,BNK000005,UTR503386595431,exact_1to1,1,2730.38,2735.65,0.0,1.0
grp_00004,LTX000076,BNK000006,UTR106583010663,exact_1to1,1,74993.49,75005.99,0.0,0.925
grp_00005,LTX000006,BNK000007,UTR670392795762,exact_1to1,1,8065.12,8070.93,0.0,1.0
grp_00006,LTX000024,BNK000009,UTR748626352046,exact_1to1,1,25137.16,25144.67,0.0,1.0
grp_00007,LTX000073,BNK000010,UTR880121294435,exact_1to1,1,17336.02,17342.75,0.0,1.0
grp_00008,LTX000037,BNK000011,UTR496079829574,exact_1to1,1,6203.59,6209.21,0.0,1.0
grp_00009,LTX000129,BNK000012,UTR972833605035,exact_1to1,1,11324.24,11330.37,0.0,1.0
grp_00010,LTX000019,BNK000013,UTR760378147694,exact_1to1,1,13308.86,13315.19,0.0,1.0
grp_00011,LTX000059,BNK000014,UTR211482797377,exact_1to1,1,8910.62,8916.51,0.0,1.0
grp_00012,LTX000128,BNK000015,UTR540729767635,exact_1to1,1,18735.16,18742.03,0.0,0.925
grp_00013,LTX000011,BNK000016,UTR980125281166,exact_1to1,1,9405.13,9411.07,0.0,1.0
grp_00014,LTX000001,BNK000017,UTR176337345080,exact_1to1,1,18020.77,18027.57,0.0,1.0
grp_00015,LTX000061,BNK000018,UTR932231500497,exact_1to1,1,6250.01,6255.64,0.0,1.0
grp_00016,LTX000057,BNK000019,UTR435432107176,exact_1to1,1,6494.75,6500.4,0.0,1.0
grp_00017,LTX000009,BNK000020,UTR707775065800,exact_1to1,1,14391.83,14398.27,0.0,1.0
grp_00018,LTX000050,BNK000021,UTR878910893250,exact_1to1,1,3823.27,3828.65,0.0,0.925
grp_00019,LTX000132,BNK000022,UTR144067338840,exact_1to1,1,11028.62,11034.72,0.0,0.925
grp_00020,LTX000111,BNK000023,UTR872312774162,exact_1to1,1,13856.05,13862.44,0.0,1.0
grp_00021,LTX000008,BNK000024,UTR709558659427,exact_1to1,1,9684.72,9690.69,0.0,1.0
grp_00022,LTX000109,BNK000025,UTR906071393245,exact_1to1,1,81051.31,81064.42,0.0,1.0
grp_00023,LTX000044,BNK000026,UTR867503016668,exact_1to1,1,24914.98,24922.47,0.0,1.0
grp_00024,LTX000026,BNK000027,UTR369049286007,exact_1to1,1,9458.84,9464.79,0.0,1.0
grp_00025,LTX000030,BNK000028,UTR347342545679,exact_1to1,1,20178.61,20185.63,0.0,1.0
grp_00026,LTX000032,BNK000029,UTR176330432112,exact_1to1,1,8118.25,8124.06,0.0,1.0
grp_00027,LTX000054,BNK000030,UTR826688445378,exact_1to1,1,40474.53,40483.58,0.0,1.0
grp_00028,LTX000029,BNK000031,UTR467147756018,exact_1to1,1,22120.76,22127.97,0.0,1.0
grp_00029,LTX000028,BNK000032,UTR997822033536,exact_1to1,1,12375.68,12381.92,0.0,1.0
grp_00030,LTX000083,BNK000033,UTR453132183629,exact_1to1,1,21351.76,21358.9,0.0,1.0
grp_00031,LTX000034,BNK000034,UTR220930221981,exact_1to1,1,20402.35,20409.39,0.0,1.0
grp_00032,LTX000127,BNK000035,UTR281781133919,exact_1to1,1,13724.68,13731.05,0.0,1.0
grp_00033,LTX000094,BNK000036,UTR671086238456,exact_1to1,1,67960.78,67972.58,0.0,0.925
grp_00034,LTX000103,BNK000037,UTR963288345560,exact_1to1,1,64857.37,64868.86,0.0,1.0
grp_00035,LTX000033,BNK000038,UTR356086787600,exact_1to1,1,12105.96,12112.17,0.0,1.0
grp_00036,LTX000004,BNK000039,UTR392808457465,exact_1to1,1,6925.14,6930.83,0.0,0.925
grp_00037,LTX000036,BNK000040,UTR768086154476,exact_1to1,1,12410.43,12416.67,0.0,1.0
grp_00038,LTX000020,BNK000041,UTR369444962363,exact_1to1,1,12184.81,12191.03,0.0,1.0
grp_00039,LTX000038,BNK000042,UTR239897407675,exact_1to1,1,7555.32,7561.08,0.0,1.0
grp_00040,LTX000105,BNK000043,UTR605340454972,exact_1to1,1,69187.3,69199.22,0.0,1.0
grp_00041,LTX000035,BNK000046,UTR808830852606,exact_1to1,1,22612.71,22619.97,0.0,1.0
grp_00042,LTX000017,BNK000048,UTR561458857870,exact_1to1,1,13361.5,13367.84,0.0,1.0
grp_00043,LTX000117,BNK000049,UTR963797070096,exact_1to1,1,6250.62,6256.25,0.0,1.0
grp_00044,LTX000012,BNK000050,UTR321459950354,exact_1to1,1,7511.9,7517.65,0.0,1.0
grp_00045,LTX000118,BNK000051,UTR564479021131,exact_1to1,1,16139.83,16146.44,0.0,1.0
grp_00046,LTX000078,BNK000052,UTR200440331424,exact_1to1,1,48292.41,48302.24,0.0,1.0
grp_00047,LTX000095,BNK000053,UTR728370753048,exact_1to1,1,55597.87,55608.43,0.0,1.0
grp_00048,LTX000021,BNK000054,UTR454713199460,exact_1to1,1,16621.12,16627.78,0.0,1.0
grp_00049,LTX000072,BNK000055,UTR200863333898,exact_1to1,1,78319.8,78332.63,0.0,1.0
grp_00050,LTX000046,BNK000056,UTR557350620231,exact_1to1,1,17251.83,17258.56,0.0,1.0
grp_00051,LTX000063,BNK000057,UTR488194318131,exact_1to1,1,8781.46,8787.34,0.0,1.0
grp_00052,LTX000051,BNK000058,UTR334313689073,exact_1to1,1,7207.86,7213.58,0.0,0.925
grp_00053,LTX000025,BNK000059,UTR531877060495,exact_1to1,1,7776.45,7782.23,0.0,1.0
grp_00054,LTX000122,BNK000060,UTR397662167849,exact_1to1,1,18586.62,18593.48,0.0,1.0
grp_00055,LTX000101,BNK000061,UTR514692644715,exact_1to1,1,60809.55,60820.63,0.0,1.0
grp_00056,LTX000053,BNK000063,UTR108333803639,exact_1to1,1,12943.57,12949.86,0.0,1.0
grp_00057,LTX000010,BNK000064,UTR199566520805,exact_1to1,1,14883.01,14889.5,0.0,0.925
grp_00058,LTX000112,BNK000065,UTR612290845387,exact_1to1,1,9368.07,9374.01,0.0,1.0
grp_00059,LTX000110,BNK000066,UTR104267253620,exact_1to1,1,76441.84,76454.49,0.0,1.0
grp_00060,LTX000080,BNK000067,UTR246469137494,exact_1to1,1,40940.62,40949.71,0.0,1.0
grp_00061,LTX000049,BNK000068,UTR328837135378,exact_1to1,1,4898.82,4904.31,0.0,1.0
grp_00062,LTX000092,BNK000069,UTR643082008899,exact_1to1,1,144132.53,144151.95,0.0,1.0
grp_00063,LTX000077,BNK000070,UTR831843411238,exact_1to1,1,72885.72,72898.01,0.0,0.925
grp_00064,LTX000126,BNK000071,UTR640660526976,exact_1to1,1,9896.3,9902.29,0.0,1.0
grp_00065,LTX000018,BNK000072,UTR385872070927,exact_1to1,1,13246.85,13253.18,0.0,1.0
grp_00066,LTX000082,BNK000073,UTR411830789866,exact_1to1,1,10994.56,11000.66,0.0,1.0
grp_00067,LTX000007,BNK000074,UTR752664988765,exact_1to1,1,10783.44,10789.52,0.0,1.0
grp_00068,LTX000088,BNK000075,UTR385437854016,exact_1to1,1,28364.15,28371.99,0.0,1.0
grp_00069,LTX000013,BNK000076,UTR213423707571,exact_1to1,1,21907.3,21914.49,0.0,1.0
grp_00070,LTX000066,BNK000079,UTR626174950720,exact_1to1,1,26287.19,26294.82,0.0,1.0
grp_00071,LTX000131,BNK000080,UTR892342270114,exact_1to1,1,12393.96,12400.2,0.0,1.0
grp_00072,LTX000062,BNK000081,UTR345868472350,exact_1to1,1,9515.16,9521.11,0.0,1.0
grp_00073,LTX000041,BNK000082,UTR365279673882,exact_1to1,1,12872.16,12878.45,0.0,1.0
grp_00074,LTX000086,BNK000091,UTR568207060341,exact_1to1,1,34591.05,34603.6,4.09,1.0
